CODIGO_INTERNO,DESCRIPCION_OFICIAL,EQ_RIOPLATENSE,EQ_FRIMSA,EQ_MERCEDINO,EQ_GORINA,EQ_SWIFT,EQ_CAMPO_AUSTRAL,EQ_SOYCHU,EQ_GRANGYS
0210007,NALGA VACUNA,Nalga con tapa,Nalga c/tapa,nalga con tapa,NALGA C/TAPA,NALGA CON TAPA,,,
1510007,NALGA CON TAPA DE 3ROS,Nalga con tapa,Nalga c/tapa,nalga con tapa,NALGA C/TAPA,NALGA CON TAPA,,,
0210012,BIFE ANCHO VACUNO,Bife ancho,Bife Ancho,Ojo bife,BIFE ANCHO,BIFE ANCHO,,,
0210004,BIFE ANGOSTO VACUNO,Bife angosto,Bife Angosto,bife angosto,BIFE ANGOSTO,BIFE ANGOSTO,,,
0210001,PECETO VACUNO,Peceto,Peceto,peceto,PECETO,PECETO,,,
0210003,VACIO VACUNO,Vacio,Vacio novillo seleccionado,vacio,VACIO,VACIO,,,
0210002,MATAMBRE VACUNO,Matambre,Matambre,matambres,MATAMBRE,MATAMBRE,,,
0210008,BOLA DE LOMO VACUNA,Bola de lomo,Bola de lomo,bola lomo,BOLA DE LOMO,BOLA DE LOMO,,,
0920002,BONDIOLA DE CERDO CONGELADA,Bondiola de cerdo SEARA,,,,,,BONDIOLA CONG CJA GDE GRANEL,Bondiola,
1020013,PECHITO C/H PLANCHA CERDO,,,,,,,PECHO C/MANTA CONG CAJA GDE CA,,
0920008,MATAMBRITO DE CERDO CONGELADO,,,,,,,MATAMBRITO ENTERO CONGELADO AL VACIO POUCH,,
1021012,CARRE CON HUESO DE CERDO,,,,,,,CARRE C/HUESO CONGELADO S/SOLOMILLO CAJA GDE,,
0920004,CARRE SIN HUESO DE CERDO,,,,,,,CARRE S/HUESO CONGELADO CAJA GDE CA,,
1020015,RIBS DE CERDO CONGELADO,,,,,,,RIBS DE PECHO A/V CONG CAJA GDE,,
0521001,POLLO ENTERO (SOYCHU 20KG),POLLO ENTERO x 16kg,,,,,,,Pollo entero SOYCHU - OPTIMO - DF,
0521013,POLLO SAN SEBASTIAN (20KG),POLLO ENTERO x 16kg,,,,,,,Pollo entero 1962- DF - OPTIMO MADERA,
0521003,SUPREMA DESHUESADA SOYCHU (15KG),Pechuga Somave,,,,,,,Suprema Congelada x15 kg granel,
0521015,SUPREMA SAN SEBASTIAN (15KG),Pechuga Seara x 12kg,,,,,,,Suprema Congelada x15 kg IQF,
0521002,CUARTO TRASERO POLLO SOYCHU (15KG),Pata muslo,,,,,,,Cuarto Trasero BLOQUE (Cong),
0521014,CUARTO POLLO SAN SEBASTIAN (15KG),PATAS SEARA x 12kg,,,,,,,Cuarto trasero 1962,
0521004,ALAS DE POLLO SOYCHU (15KG),,,,,,,,Ala congelada a Granel x 15 kg,
0621107,MEDALLON DE POLLO 901 GRANGYS,,,,,,,,Medallones Clásicos,Medallones de pollo rebozados pref. x 5 kg.
0621106,PATITAS DE POLLO 931 GRANGYS,,,,,,,,,Patitas de pollo rebozados pref. x 5 kg.
0620006,BOCADITO DE POLLO JYQ GRANEL 6KG,,,,,,,,Bocaditos Clásicos,Patitas de pollo Jamón y queso x 5 kg.
0620055,MILANESA DE POLLO PAMPA,,,,,,,,Milanesas 5 bolsas x 2 kg.,Milanesa de pollo formada x 5 kg.
0621103,MEDALLON DE MERLUZA 101 GRANGYS,,,,,,,,,Medallones de mza rebozados pref. x 5 kg.
0620013,FORMITAS DE MERLUZA CAJA 7 KG,,,,,,,,,Formitas marinas de merluza rebozadas pref. x 5 kg.
0621101,FILET DE MERLUZA P/F 503 GRANGYS,,,,,,,,,Filetes de merluza rebozados x 5 kg.
0621113,PAPAS TRADICIONAL GRANGYS 7X2KG,,,,,,,,,Papa Tradicional 9x9-2kg
